,TF,Target,Label
0,4,894,1
1,4,6,1
2,4,569,1
3,4,623,1
4,4,35,1
5,4,830,1
6,4,437,1
7,8,330,1
8,14,757,1
9,14,203,1
10,14,100,1
11,14,536,1
12,14,360,1
13,14,223,1
14,14,521,1
15,14,348,1
16,14,906,1
17,14,67,1
18,14,683,1
19,14,827,1
20,14,229,1
21,19,734,1
22,19,741,1
23,19,467,1
24,19,228,1
25,21,24,1
26,21,359,1
27,21,706,1
28,24,609,1
29,24,21,1
30,24,898,1
31,24,788,1
32,27,866,1
33,27,87,1
34,27,121,1
35,27,732,1
36,27,498,1
37,30,565,1
38,31,39,1
39,31,682,1
40,31,77,1
41,31,487,1
42,31,206,1
43,31,665,1
44,31,213,1
45,31,698,1
46,31,330,1
47,31,162,1
48,31,107,1
49,31,699,1
50,31,262,1
51,31,807,1
52,31,241,1
53,31,336,1
54,35,512,1
55,35,199,1
56,35,164,1
57,35,384,1
58,35,40,1
59,35,196,1
60,35,125,1
61,35,190,1
62,35,326,1
63,35,516,1
64,35,553,1
65,35,6,1
66,35,651,1
67,35,336,1
68,35,541,1
69,38,494,1
70,38,40,1
71,40,35,1
72,40,575,1
73,40,881,1
74,40,257,1
75,40,423,1
76,40,365,1
77,40,651,1
78,40,618,1
79,41,125,1
80,41,266,1
81,45,330,1
82,52,219,1
83,52,868,1
84,57,270,1
85,65,74,1
86,69,152,1
87,69,366,1
88,69,908,1
89,69,751,1
90,69,330,1
91,69,698,1
92,69,60,1
93,69,121,1
94,69,130,1
95,69,507,1
96,69,117,1
97,69,384,1
98,69,78,1
99,69,555,1
100,69,206,1
101,69,450,1
102,69,705,1
103,69,794,1
104,69,576,1
105,69,92,1
106,74,794,1
107,74,515,1
108,74,331,1
109,74,65,1
110,74,353,1
111,74,450,1
112,74,242,1
113,74,330,1
114,75,52,1
115,77,244,1
116,77,857,1
117,77,56,1
118,77,496,1
119,77,41,1
120,77,757,1
121,77,521,1
122,77,816,1
123,77,853,1
124,77,775,1
125,77,76,1
126,77,906,1
127,77,489,1
128,77,135,1
129,77,74,1
130,77,266,1
