,TF,Target,Label
0,1,184,1
1,1,298,1
2,6,360,1
3,6,542,1
4,6,393,1
5,6,763,1
6,6,614,1
7,10,618,1
8,10,796,1
9,14,942,1
10,20,602,1
11,20,682,1
12,20,104,1
13,37,828,1
14,38,799,1
15,38,518,1
16,38,393,1
17,38,470,1
18,38,781,1
19,38,352,1
20,38,811,1
21,38,817,1
22,38,319,1
23,38,538,1
24,40,905,1
25,44,287,1
26,47,637,1
27,48,393,1
28,48,763,1
29,54,828,1
30,54,301,1
31,54,319,1
32,60,721,1
33,60,759,1
34,60,861,1
35,66,519,1
36,66,943,1
37,67,614,1
38,67,674,1
39,68,714,1
40,68,477,1
41,68,48,1
42,68,224,1
43,68,389,1
44,68,472,1
45,68,269,1
46,68,703,1
47,68,71,1
48,68,430,1
49,68,335,1
50,68,114,1
51,68,239,1
52,68,783,1
53,68,72,1
54,68,297,1
55,68,245,1
56,68,60,1
57,68,127,1
58,68,33,1
59,68,906,1
60,68,890,1
61,68,719,1
62,68,17,1
63,68,372,1
64,68,150,1
65,68,539,1
66,68,625,1
67,68,358,1
68,68,249,1
69,68,296,1
70,68,639,1
71,68,840,1
72,68,669,1
73,68,311,1
74,68,289,1
75,68,855,1
76,68,316,1
77,68,656,1
78,68,665,1
79,68,797,1
80,68,172,1
81,68,651,1
82,68,585,1
83,68,179,1
84,68,593,1
85,68,371,1
86,68,574,1
87,68,664,1
88,68,332,1
89,68,772,1
90,68,674,1
91,68,793,1
92,68,611,1
93,68,308,1
94,68,182,1
95,68,582,1
96,68,140,1
97,68,557,1
98,68,18,1
99,68,915,1
100,68,512,1
101,68,734,1
102,68,764,1
103,68,468,1
104,68,384,1
105,68,746,1
106,68,537,1
107,68,287,1
108,68,637,1
109,68,314,1
110,68,805,1
111,68,152,1
112,68,331,1
113,68,199,1
114,68,255,1
115,68,393,1
116,68,209,1
117,68,708,1
118,68,115,1
119,68,327,1
120,68,728,1
121,68,614,1
122,68,461,1
123,68,134,1
124,68,375,1
125,68,412,1
126,69,767,1
127,69,281,1
128,70,709,1
129,71,663,1
130,75,474,1
131,75,817,1
132,75,6,1
133,75,848,1
134,78,393,1
135,81,229,1
136,81,276,1
137,85,868,1
138,85,585,1
139,86,427,1
140,86,586,1
141,86,147,1
142,86,236,1
143,86,20,1
144,86,513,1
145,86,156,1
146,86,276,1
147,86,138,1
148,86,836,1
149,86,306,1
150,92,598,1
151,93,796,1
152,93,682,1
153,97,492,1
154,101,817,1
155,101,765,1
156,104,614,1
157,104,817,1
158,104,602,1
159,104,905,1
160,108,265,1
161,109,292,1
162,113,915,1
163,113,793,1
164,113,924,1
165,113,799,1
166,113,501,1
167,119,49,1
168,119,172,1
169,119,888,1
170,119,378,1
171,119,674,1
172,119,915,1
173,119,586,1
174,119,704,1
175,119,397,1
176,119,556,1
177,119,667,1
178,119,486,1
179,119,48,1
180,119,937,1
181,119,280,1
182,119,913,1
183,119,504,1
184,119,79,1
185,119,840,1
186,119,592,1
187,119,857,1
188,119,597,1
189,119,693,1
190,119,885,1
191,119,824,1
192,119,157,1
193,119,159,1
194,119,473,1
195,119,443,1
196,119,413,1
197,119,60,1
198,119,573,1
199,119,851,1
200,119,189,1
201,119,722,1
202,119,146,1
203,119,519,1
204,119,291,1
205,119,692,1
206,119,223,1
207,119,376,1
208,119,134,1
209,119,200,1
210,119,179,1
211,119,689,1
212,119,283,1
213,119,939,1
214,119,617,1
215,119,69,1
216,119,46,1
217,119,560,1
218,119,274,1
219,119,746,1
220,119,680,1
221,119,741,1
222,119,614,1
223,119,713,1
224,119,653,1
225,119,479,1
226,119,6,1
227,119,467,1
228,119,861,1
229,119,759,1
230,119,910,1
231,119,72,1
232,119,719,1
233,119,77,1
234,119,480,1
235,119,21,1
236,119,229,1
237,119,583,1
238,119,811,1
239,119,236,1
240,119,839,1
241,119,685,1
242,119,318,1
243,119,662,1
244,119,794,1
245,120,537,1
246,122,328,1
247,124,767,1
248,132,682,1
249,133,327,1
250,133,281,1
251,139,371,1
252,139,201,1
253,140,941,1
254,140,826,1
255,140,763,1
256,140,123,1
257,140,938,1
258,140,462,1
259,140,913,1
260,140,342,1
261,140,572,1
262,140,355,1
263,140,328,1
264,140,133,1
265,140,776,1
266,140,834,1
267,140,213,1
268,140,203,1
269,140,202,1
270,140,836,1
271,140,614,1
272,145,914,1
273,146,360,1
274,146,661,1
275,156,738,1
276,156,828,1
277,156,281,1
278,156,151,1
279,156,284,1
280,156,614,1
281,156,393,1
282,156,671,1
283,158,761,1
284,158,172,1
285,158,285,1
286,158,478,1
287,158,781,1
288,158,222,1
289,158,203,1
290,158,694,1
291,158,861,1
292,158,701,1
293,158,37,1
294,158,343,1
295,158,657,1
296,158,204,1
297,158,896,1
298,158,669,1
299,158,660,1
300,158,641,1
301,158,888,1
302,158,465,1
303,158,846,1
304,158,497,1
305,158,169,1
306,158,138,1
307,158,476,1
308,158,260,1
309,158,746,1
310,158,648,1
311,158,586,1
312,158,64,1
313,158,495,1
314,158,189,1
315,158,839,1
316,158,369,1
317,158,342,1
318,158,455,1
319,158,380,1
320,158,467,1
321,158,316,1
322,158,156,1
323,158,591,1
324,158,63,1
325,158,870,1
326,158,913,1
327,158,177,1
328,158,354,1
329,158,511,1
330,158,747,1
331,158,362,1
332,158,372,1
333,158,515,1
334,158,230,1
335,158,736,1
336,158,254,1
337,158,271,1
338,158,656,1
339,158,60,1
340,158,699,1
341,158,83,1
342,158,922,1
343,158,752,1
344,158,53,1
345,158,623,1
346,158,54,1
347,158,522,1
348,158,7,1
349,158,509,1
350,158,691,1
351,158,483,1
352,158,315,1
353,158,725,1
354,158,454,1
355,158,214,1
356,158,19,1
357,158,173,1
358,158,183,1
359,158,634,1
360,158,308,1
361,158,794,1
362,158,859,1
363,158,614,1
364,158,821,1
365,158,274,1
366,158,659,1
367,158,242,1
368,158,381,1
369,158,383,1
370,158,390,1
371,158,278,1
372,158,71,1
373,158,107,1
374,158,756,1
375,158,886,1
376,158,117,1
377,158,18,1
378,158,154,1
379,158,616,1
380,158,234,1
381,158,122,1
382,158,828,1
383,158,8,1
384,158,371,1
385,158,759,1
386,158,101,1
387,158,100,1
388,158,935,1
389,158,377,1
390,158,297,1
391,158,42,1
392,158,643,1
393,158,306,1
394,158,719,1
395,158,560,1
396,158,764,1
397,158,740,1
398,158,174,1
399,158,221,1
400,158,232,1
401,158,768,1
402,159,357,1
403,159,781,1
404,159,493,1
405,159,311,1
406,168,834,1
407,169,445,1
408,169,184,1
409,169,311,1
410,176,634,1
411,176,455,1
412,176,636,1
413,177,669,1
414,177,648,1
415,177,905,1
416,177,680,1
