,TF,Target,Label
0,6,926,1
1,6,384,1
2,6,380,1
3,6,94,1
4,6,972,1
5,6,1218,1
6,6,1334,1
7,6,394,1
8,6,75,1
9,6,875,1
10,6,141,1
11,6,946,1
12,6,1047,1
13,6,650,1
14,6,212,1
15,8,1218,1
16,9,984,1
17,9,1383,1
18,9,890,1
19,9,686,1
20,16,8,1
21,16,171,1
22,24,734,1
23,24,1023,1
24,24,773,1
25,24,38,1
26,24,929,1
27,24,1362,1
28,24,6,1
29,24,287,1
30,24,199,1
31,24,638,1
32,24,1300,1
33,24,1014,1
34,24,4,1
35,24,933,1
36,24,727,1
37,24,420,1
38,24,1069,1
39,24,536,1
40,24,1272,1
41,25,1358,1
42,25,594,1
43,25,1375,1
44,25,1320,1
45,25,596,1
46,25,383,1
47,35,1262,1
48,35,938,1
49,35,1010,1
50,35,1218,1
51,35,1382,1
52,35,285,1
53,38,1242,1
54,38,853,1
55,38,399,1
56,38,511,1
57,38,340,1
58,38,41,1
59,38,860,1
60,38,1300,1
61,38,32,1
62,38,563,1
63,38,294,1
64,38,1264,1
65,38,1283,1
66,38,1158,1
67,38,444,1
68,38,295,1
69,38,1102,1
70,38,1396,1
71,38,681,1
72,38,571,1
73,38,1326,1
74,38,509,1
75,38,344,1
76,38,598,1
77,38,6,1
78,38,36,1
79,38,150,1
80,38,674,1
81,38,513,1
82,38,1136,1
83,38,974,1
84,38,602,1
85,38,830,1
86,38,806,1
87,38,480,1
88,38,1090,1
89,38,141,1
90,41,94,1
91,41,146,1
92,41,771,1
93,41,1333,1
94,61,1144,1
95,61,128,1
96,61,992,1
97,61,566,1
98,61,1076,1
99,61,827,1
100,61,38,1
101,61,1061,1
102,62,965,1
103,62,941,1
104,64,1322,1
105,64,158,1
106,64,75,1
107,64,632,1
108,64,964,1
109,64,1339,1
110,73,807,1
111,80,19,1
112,80,1139,1
113,80,1305,1
114,80,674,1
115,80,806,1
116,80,43,1
117,80,771,1
118,80,116,1
119,80,71,1
120,80,6,1
121,80,524,1
122,80,1366,1
123,80,1041,1
124,80,1040,1
125,80,805,1
126,80,690,1
127,80,8,1
128,80,1337,1
129,80,707,1
130,80,290,1
131,80,47,1
132,80,1282,1
133,80,566,1
134,80,140,1
135,80,129,1
136,89,1047,1
137,103,62,1
138,106,77,1
139,106,255,1
140,106,237,1
141,106,1210,1
142,106,129,1
143,106,277,1
144,106,848,1
145,106,1146,1
146,106,1082,1
147,106,396,1
148,106,154,1
149,106,19,1
150,106,638,1
151,106,338,1
152,106,602,1
153,106,1078,1
154,106,216,1
155,106,1025,1
156,106,109,1
157,106,1348,1
158,106,814,1
159,106,618,1
160,106,348,1
161,106,74,1
162,106,103,1
163,106,716,1
164,106,1168,1
165,106,188,1
166,106,1053,1
167,107,463,1
168,107,1321,1
169,107,1211,1
170,107,895,1
171,109,1009,1
172,109,638,1
