,TF,Target,Label
0,6,650,1
1,6,276,1
2,6,123,1
3,6,662,1
4,6,230,1
5,6,45,1
6,6,380,1
7,6,875,1
8,6,38,1
9,6,1375,1
10,6,384,1
11,6,1047,1
12,6,972,1
13,6,212,1
14,6,1218,1
15,8,1218,1
16,9,984,1
17,9,890,1
18,9,841,1
19,9,686,1
20,16,931,1
21,16,171,1
22,24,188,1
23,24,957,1
24,24,4,1
25,24,1217,1
26,24,687,1
27,24,1402,1
28,24,344,1
29,24,1144,1
30,24,773,1
31,24,929,1
32,24,420,1
33,24,638,1
34,24,140,1
35,24,933,1
36,24,1300,1
37,24,536,1
38,24,6,1
39,24,734,1
40,24,1069,1
41,25,301,1
42,25,1320,1
43,25,596,1
44,25,716,1
45,25,230,1
46,25,286,1
47,35,1382,1
48,35,1262,1
49,35,938,1
50,35,770,1
51,35,824,1
52,35,285,1
53,38,1319,1
54,38,579,1
55,38,727,1
56,38,715,1
57,38,513,1
58,38,1396,1
59,38,830,1
60,38,344,1
61,38,1158,1
62,38,853,1
63,38,444,1
64,38,953,1
65,38,104,1
66,38,238,1
67,38,1242,1
68,38,681,1
69,38,922,1
70,38,340,1
71,38,1018,1
72,38,286,1
73,38,1300,1
74,38,674,1
75,38,1030,1
76,38,616,1
77,38,36,1
78,38,1122,1
79,38,562,1
80,38,509,1
81,38,586,1
82,38,1218,1
83,38,860,1
84,38,35,1
85,38,295,1
86,38,1264,1
87,38,32,1
88,38,1283,1
89,38,1230,1
90,41,94,1
91,41,1333,1
92,41,771,1
93,41,146,1
94,61,38,1
95,61,1144,1
96,61,566,1
97,61,551,1
98,61,827,1
99,61,647,1
100,61,992,1
101,61,1105,1
102,62,67,1
103,62,965,1
104,64,383,1
105,64,632,1
106,64,1339,1
107,64,914,1
108,64,1047,1
109,64,158,1
110,80,1375,1
111,80,140,1
112,80,674,1
113,80,188,1
114,80,295,1
115,80,771,1
116,80,1207,1
117,80,1282,1
118,80,1010,1
119,80,1139,1
120,80,6,1
121,80,1041,1
122,80,47,1
123,80,116,1
124,80,19,1
125,80,690,1
126,80,1289,1
127,80,1068,1
128,80,342,1
129,80,805,1
130,80,1305,1
131,80,853,1
132,80,806,1
133,80,753,1
134,80,825,1
135,89,1047,1
136,103,62,1
137,106,1181,1
138,106,1053,1
139,106,618,1
140,106,1082,1
141,106,99,1
142,106,1023,1
143,106,154,1
144,106,1078,1
145,106,975,1
146,106,1016,1
147,106,707,1
148,106,1375,1
149,106,953,1
150,106,348,1
151,106,396,1
152,106,907,1
153,106,188,1
154,106,1047,1
155,106,77,1
156,106,237,1
157,106,940,1
158,106,19,1
159,106,103,1
160,106,216,1
161,106,129,1
162,106,74,1
163,106,277,1
164,106,255,1
165,106,814,1
166,107,1321,1
167,107,463,1
168,107,75,1
169,107,1159,1
170,109,1254,1
171,109,638,1
172,109,963,1
173,109,567,1
174,109,498,1
175,111,1047,1
176,111,54,1
177,116,320,1
178,116,1287,1
179,116,540,1
180,126,931,1
181,128,230,1
182,128,320,1
183,129,1062,1
184,129,1356,1
185,129,1358,1
186,129,400,1
187,131,793,1
188,134,1243,1
189,141,384,1
190,141,1375,1
191,141,926,1
192,141,431,1
193,141,875,1
194,141,1241,1
195,141,6,1
196,141,1217,1
197,141,1404,1
198,141,230,1
199,158,250,1
200,171,436,1
201,171,896,1
202,171,875,1
203,171,32,1
204,171,948,1
205,171,724,1
206,171,1283,1
207,171,1098,1
208,171,84,1
209,171,1361,1
210,171,1160,1
211,171,977,1
212,171,383,1
213,171,640,1
214,171,294,1
215,171,1263,1
216,171,403,1
217,171,361,1
218,171,134,1
219,171,116,1
220,171,264,1
221,171,156,1
222,171,571,1
223,171,1230,1
224,171,325,1
225,171,929,1
226,171,906,1
227,171,31,1
228,171,850,1
229,171,908,1
230,171,531,1
231,171,212,1
232,171,632,1
233,171,785,1
234,171,656,1
235,171,803,1
236,171,526,1
237,171,1222,1
238,171,288,1
239,171,769,1
240,171,1079,1
241,171,1009,1
242,171,363,1
243,171,173,1
244,171,1287,1
245,171,1063,1
246,171,463,1
247,171,102,1
248,171,953,1
249,171,1081,1
250,171,1285,1
251,171,1064,1
252,171,411,1
253,171,627,1
254,171,1333,1
255,171,129,1
256,171,253,1
257,171,983,1
258,171,447,1
259,171,1242,1
260,171,340,1
261,171,556,1
262,171,652,1
263,171,1134,1
264,171,179,1
265,171,1007,1
266,171,75,1
267,171,1358,1
268,171,455,1
269,171,1151,1
270,171,1218,1
271,171,286,1
272,171,310,1
273,171,1374,1
274,171,1169,1
275,171,1366,1
276,171,974,1
277,171,738,1
278,171,332,1
279,171,507,1
280,171,743,1
281,171,481,1
282,171,1394,1
283,171,946,1
284,171,1154,1
285,171,716,1
286,171,296,1
287,173,747,1
288,179,171,1
289,179,394,1
290,179,183,1
291,180,1140,1
292,180,78,1
293,180,1081,1
294,180,551,1
295,183,875,1
296,183,192,1
297,183,957,1
298,183,974,1
299,183,932,1
300,183,189,1
301,183,596,1
302,183,1375,1
303,183,171,1
304,183,318,1
305,183,21,1
306,183,991,1
307,183,792,1
308,183,1231,1
309,183,93,1
310,183,277,1
311,183,1337,1
312,183,994,1
313,188,745,1
314,193,286,1
315,194,632,1
316,194,1047,1
317,197,1358,1
318,199,741,1
319,199,115,1
320,207,498,1
321,220,146,1
322,220,1256,1
323,224,230,1
324,225,747,1
325,230,123,1
326,230,383,1
327,230,1403,1
328,230,481,1
329,230,306,1
330,230,109,1
331,230,782,1
332,230,1254,1
333,230,1319,1
334,230,1107,1
335,230,1394,1
336,230,963,1
337,230,1144,1
338,230,1371,1
339,230,264,1
340,230,25,1
341,230,1287,1
342,230,964,1
343,230,730,1
344,230,218,1
345,230,807,1
346,230,320,1
347,230,120,1
348,230,752,1
349,230,681,1
350,230,180,1
351,230,1353,1
352,230,1320,1
353,230,1354,1
354,230,659,1
355,230,1014,1
356,230,128,1
357,230,1375,1
358,230,298,1
359,230,295,1
360,230,1306,1
361,230,616,1
362,230,1291,1
363,230,400,1
364,230,75,1
365,230,94,1
366,230,1360,1
367,230,250,1
368,240,402,1
369,240,725,1
370,247,344,1
371,250,594,1
372,250,1239,1
373,250,424,1
374,250,888,1
375,250,680,1
376,250,994,1
377,250,171,1
378,250,1029,1
379,250,853,1
380,250,659,1
381,250,1047,1
382,250,1285,1
383,250,844,1
384,250,1030,1
385,250,958,1
386,250,277,1
387,250,149,1
388,250,964,1
389,250,489,1
390,250,252,1
391,250,249,1
392,250,1298,1
393,250,230,1
394,250,1360,1
395,273,366,1
396,275,543,1
397,275,944,1
398,275,608,1
399,275,668,1
400,275,749,1
401,275,914,1
402,275,441,1
403,275,1390,1
404,275,744,1
405,275,1295,1
406,275,766,1
407,275,1385,1
408,275,171,1
409,275,145,1
410,275,1089,1
411,275,1181,1
412,275,170,1
413,276,6,1
414,278,1079,1
415,278,183,1
416,278,595,1
417,278,980,1
418,278,700,1
419,280,1353,1
420,280,1081,1
421,280,1383,1
422,280,984,1
423,286,1366,1
424,286,569,1
425,286,1230,1
426,286,444,1
427,286,1025,1
428,286,845,1
429,286,1264,1
430,286,745,1
431,286,850,1
432,286,640,1
433,286,278,1
434,286,556,1
435,286,250,1
436,286,1283,1
437,286,360,1
438,286,1122,1
439,286,134,1
440,286,145,1
441,286,1082,1
442,286,1398,1
443,286,688,1
444,286,709,1
445,286,109,1
446,286,673,1
447,286,881,1
448,286,771,1
449,286,20,1
450,286,8,1
451,286,130,1
452,286,631,1
453,286,150,1
454,286,1328,1
455,286,578,1
456,286,730,1
457,286,36,1
458,286,1242,1
459,286,1326,1
460,286,1047,1
461,286,953,1
462,286,932,1
463,286,1287,1
464,286,436,1
465,286,853,1
466,286,1014,1
467,286,153,1
468,286,1334,1
469,286,785,1
470,288,1293,1
471,301,94,1
472,301,716,1
473,301,1375,1
474,301,324,1
475,301,304,1
476,301,120,1
477,301,1320,1
478,301,596,1
479,306,230,1
480,310,283,1
481,310,436,1
482,310,680,1
483,310,1210,1
484,310,803,1
485,310,1089,1
486,310,1079,1
487,310,267,1
488,310,237,1
489,310,116,1
490,310,1271,1
491,310,1132,1
492,310,466,1
493,310,1123,1
494,310,923,1
495,310,232,1
496,310,800,1
497,310,609,1
498,310,980,1
499,310,44,1
500,310,778,1
501,310,1042,1
502,310,250,1
503,311,260,1
504,320,931,1
505,320,128,1
506,320,250,1
507,320,749,1
508,324,45,1
509,324,120,1
510,328,1166,1
511,340,991,1
512,340,1384,1
513,340,288,1
514,340,1126,1
515,340,953,1
516,340,1092,1
517,340,1380,1
518,340,289,1
519,340,1058,1
520,340,1406,1
521,340,1025,1
522,340,905,1
