,TF,Target,Label
0,6,45,1
1,6,1375,1
2,6,926,1
3,6,1187,1
4,6,1334,1
5,6,662,1
6,6,875,1
7,6,919,1
8,6,1404,1
9,6,1218,1
10,6,276,1
11,6,380,1
12,6,94,1
13,6,431,1
14,6,1384,1
15,8,1218,1
16,9,984,1
17,9,841,1
18,9,890,1
19,9,1081,1
20,16,171,1
21,16,8,1
22,24,1069,1
23,24,1023,1
24,24,1025,1
25,24,1144,1
26,24,734,1
27,24,1136,1
28,24,536,1
29,24,663,1
30,24,6,1
31,24,773,1
32,24,344,1
33,24,1014,1
34,24,287,1
35,24,933,1
36,24,38,1
37,24,14,1
38,24,638,1
39,24,365,1
40,24,957,1
41,25,1358,1
42,25,716,1
43,25,943,1
44,25,286,1
45,25,1375,1
46,25,596,1
47,33,1175,1
48,35,824,1
49,35,938,1
50,35,1218,1
51,35,770,1
52,35,1010,1
53,35,1382,1
54,38,1280,1
55,38,249,1
56,38,1158,1
57,38,295,1
58,38,444,1
59,38,956,1
60,38,674,1
61,38,598,1
62,38,1283,1
63,38,480,1
64,38,1014,1
65,38,399,1
66,38,509,1
67,38,6,1
68,38,953,1
69,38,563,1
70,38,1018,1
71,38,1264,1
72,38,586,1
73,38,715,1
74,38,1366,1
75,38,294,1
76,38,806,1
77,38,340,1
78,38,41,1
79,38,1187,1
80,38,515,1
81,38,1030,1
82,38,922,1
83,38,513,1
84,38,104,1
85,38,1230,1
86,38,1218,1
87,38,1326,1
88,38,677,1
89,38,1319,1
90,38,1242,1
91,41,771,1
92,41,1333,1
93,41,146,1
94,41,1217,1
95,61,1144,1
96,61,477,1
97,61,1159,1
98,61,827,1
99,61,992,1
100,61,1061,1
101,61,1076,1
102,61,128,1
103,62,594,1
104,62,965,1
105,64,964,1
106,64,632,1
107,64,1339,1
108,64,397,1
109,64,463,1
110,64,914,1
111,80,1366,1
112,80,1289,1
113,80,116,1
114,80,806,1
115,80,674,1
116,80,805,1
117,80,295,1
118,80,71,1
119,80,1194,1
120,80,690,1
121,80,8,1
122,80,1305,1
123,80,1040,1
124,80,6,1
125,80,1337,1
126,80,19,1
127,80,1041,1
128,80,1010,1
129,80,1207,1
130,80,653,1
131,80,1068,1
132,80,1255,1
133,80,1282,1
134,80,771,1
135,80,1300,1
136,89,1047,1
137,103,62,1
138,106,716,1
139,106,1023,1
140,106,19,1
141,106,348,1
142,106,214,1
143,106,1078,1
144,106,758,1
145,106,907,1
146,106,1016,1
147,106,154,1
148,106,638,1
149,106,91,1
150,106,1210,1
151,106,74,1
152,106,853,1
153,106,338,1
154,106,103,1
155,106,1258,1
156,106,940,1
157,106,255,1
