,TF,Target,Label
0,6,1375,1
1,6,946,1
2,6,1187,1
3,6,972,1
4,6,123,1
5,6,75,1
6,6,926,1
7,6,394,1
8,6,1047,1
9,6,230,1
10,6,662,1
11,6,38,1
12,6,380,1
13,6,141,1
14,6,94,1
15,8,1218,1
16,9,1081,1
17,9,1237,1
18,9,841,1
19,9,984,1
20,16,931,1
21,16,8,1
22,24,1023,1
23,24,929,1
24,24,663,1
25,24,420,1
26,24,14,1
27,24,1375,1
28,24,38,1
29,24,199,1
30,24,933,1
31,24,991,1
32,24,536,1
33,24,1069,1
34,24,1272,1
35,24,344,1
36,24,287,1
37,24,734,1
38,24,1025,1
39,24,638,1
40,24,140,1
41,25,301,1
42,25,716,1
43,25,594,1
44,25,1358,1
45,25,230,1
46,25,943,1
47,33,1175,1
48,35,652,1
49,35,94,1
50,35,1010,1
51,35,824,1
52,35,1030,1
53,35,1262,1
54,38,953,1
55,38,830,1
56,38,598,1
57,38,344,1
58,38,1283,1
59,38,32,1
60,38,681,1
61,38,974,1
62,38,562,1
63,38,509,1
64,38,922,1
65,38,602,1
66,38,238,1
67,38,1348,1
68,38,970,1
69,38,1264,1
70,38,677,1
71,38,1230,1
72,38,586,1
73,38,150,1
74,38,6,1
75,38,1366,1
76,38,1158,1
77,38,1102,1
78,38,36,1
79,38,563,1
80,38,399,1
81,38,853,1
82,38,295,1
83,38,480,1
84,38,1122,1
85,38,674,1
86,38,806,1
87,38,104,1
88,38,1030,1
89,38,517,1
90,38,1014,1
91,41,771,1
92,41,1217,1
93,41,146,1
94,41,94,1
95,61,38,1
96,61,1144,1
97,61,992,1
98,61,1159,1
99,61,477,1
100,61,551,1
101,61,566,1
102,61,1061,1
103,62,941,1
104,62,67,1
105,64,383,1
106,64,397,1
107,64,463,1
108,64,1047,1
109,64,632,1
110,64,1339,1
111,73,807,1
112,80,566,1
113,80,8,1
114,80,188,1
115,80,1282,1
116,80,1375,1
117,80,1255,1
118,80,1041,1
119,80,753,1
120,80,1010,1
121,80,290,1
122,80,690,1
123,80,1402,1
124,80,707,1
125,80,674,1
126,80,771,1
127,80,653,1
128,80,1366,1
129,80,853,1
130,80,43,1
131,80,1292,1
132,80,825,1
133,80,1305,1
134,80,129,1
135,80,140,1
136,80,116,1
137,89,1047,1
138,106,848,1
139,106,940,1
140,106,1210,1
141,106,1005,1
142,106,1375,1
143,106,1348,1
144,106,618,1
145,106,681,1
146,106,659,1
147,106,89,1
148,106,1082,1
149,106,1168,1
150,106,77,1
151,106,638,1
152,106,338,1
153,106,188,1
154,106,385,1
155,106,853,1
156,106,237,1
157,106,1146,1
158,106,129,1
159,106,907,1
160,106,975,1
161,106,1181,1
162,106,250,1
163,106,19,1
164,106,396,1
165,106,103,1
166,106,216,1
167,107,75,1
168,107,1159,1
169,107,463,1
170,107,1211,1
171,109,89,1
172,109,1254,1
173,109,567,1
174,109,1009,1
175,109,498,1
176,111,1047,1
177,111,54,1
178,115,199,1
179,116,298,1
180,116,1287,1
181,116,540,1
182,126,931,1
183,128,230,1
184,128,1029,1
185,129,400,1
186,129,1356,1
187,129,278,1
188,129,1358,1
189,131,793,1
190,134,1243,1
191,141,931,1
192,141,431,1
193,141,803,1
194,141,616,1
195,141,6,1
196,141,968,1
197,141,926,1
198,141,859,1
199,141,874,1
200,141,38,1
201,158,250,1
202,171,1154,1
203,171,1074,1
204,171,1195,1
205,171,1369,1
206,171,126,1
207,171,769,1
208,171,738,1
209,171,1353,1
210,171,363,1
211,171,1007,1
212,171,451,1
213,171,34,1
214,171,1364,1
215,171,1197,1
216,171,741,1
217,171,850,1
218,171,408,1
219,171,129,1
220,171,724,1
221,171,999,1
222,171,1308,1
223,171,632,1
224,171,1287,1
225,171,32,1
226,171,1041,1
227,171,528,1
228,171,875,1
229,171,1333,1
230,171,250,1
231,171,1361,1
232,171,1295,1
233,171,795,1
234,171,487,1
235,171,1063,1
236,171,212,1
237,171,707,1
238,171,1283,1
239,171,41,1
240,171,1009,1
241,171,383,1
242,171,153,1
243,171,361,1
244,171,1222,1
245,171,463,1
246,171,517,1
247,171,1395,1
248,171,587,1
249,171,165,1
250,171,554,1
251,171,1151,1
252,171,1358,1
253,171,975,1
254,171,945,1
255,171,547,1
256,171,859,1
257,171,386,1
258,171,1230,1
259,171,511,1
260,171,1064,1
261,171,946,1
262,171,288,1
263,171,942,1
264,171,1371,1
265,171,983,1
266,171,238,1
267,171,1168,1
268,171,179,1
269,171,631,1
270,171,507,1
271,171,403,1
272,171,3,1
273,171,640,1
274,171,531,1
275,171,411,1
276,171,853,1
277,171,301,1
278,171,294,1
279,171,896,1
280,171,173,1
281,171,656,1
282,171,908,1
283,171,496,1
284,171,1169,1
285,171,1242,1
286,171,730,1
287,171,81,1
288,171,650,1
289,173,747,1
290,179,394,1
291,179,171,1
292,179,183,1
293,180,78,1
294,180,1140,1
295,180,230,1
296,180,1081,1
297,183,1231,1
298,183,277,1
299,183,792,1
300,183,1062,1
301,183,1321,1
302,183,149,1
303,183,596,1
304,183,189,1
305,183,179,1
306,183,758,1
307,183,1337,1
308,183,1375,1
309,183,278,1
310,183,707,1
311,183,318,1
312,183,991,1
313,183,486,1
314,183,957,1
315,188,745,1
316,189,230,1
317,194,301,1
318,194,632,1
319,197,1358,1
320,199,741,1
321,199,115,1
322,201,1318,1
323,207,498,1
324,220,1218,1
325,220,1256,1
326,224,230,1
327,225,747,1
328,230,1254,1
329,230,320,1
330,230,742,1
331,230,1218,1
332,230,1360,1
333,230,831,1
334,230,681,1
335,230,557,1
336,230,807,1
337,230,1030,1
338,230,6,1
339,230,89,1
340,230,1319,1
341,230,1366,1
342,230,769,1
343,230,837,1
