,TF,Target,Label
0,46,422,1
1,58,281,1
2,58,380,1
3,66,422,1
4,76,78,1
5,76,6,1
6,76,233,1
7,76,171,1
8,76,44,1
9,76,146,1
10,76,51,1
11,76,366,1
12,85,82,1
13,85,180,1
14,85,510,1
15,85,399,1
16,85,483,1
17,85,382,1
18,85,305,1
19,85,293,1
20,85,271,1
21,85,192,1
22,85,439,1
23,85,156,1
24,111,525,1
25,111,407,1
26,118,352,1
27,118,192,1
28,118,551,1
29,118,526,1
30,118,376,1
31,118,78,1
32,118,107,1
33,118,93,1
34,118,396,1
35,118,401,1
36,118,367,1
37,118,47,1
38,135,302,1
39,145,506,1
40,145,422,1
41,145,257,1
42,145,213,1
43,145,60,1
44,155,63,1
45,155,276,1
46,155,419,1
47,155,358,1
48,155,472,1
49,155,498,1
50,155,409,1
51,155,49,1
52,155,106,1
53,155,509,1
54,155,279,1
55,155,160,1
56,155,340,1
57,155,44,1
58,155,257,1
59,155,451,1
60,155,184,1
61,155,236,1
62,155,60,1
63,155,6,1
64,180,379,1
65,192,379,1
66,213,131,1
67,213,216,1
68,213,257,1
69,213,145,1
70,213,506,1
71,213,116,1
72,216,190,1
73,216,116,1
74,216,145,1
75,216,213,1
76,216,60,1
77,216,96,1
78,223,267,1
79,233,416,1
80,233,550,1
81,237,406,1
82,251,492,1
83,252,53,1
84,252,180,1
85,252,302,1
86,252,445,1
87,252,361,1
88,277,335,1
89,277,422,1
90,283,118,1
91,284,320,1
92,284,335,1
93,302,531,1
94,302,445,1
95,302,252,1
96,302,221,1
97,302,42,1
98,302,392,1
99,302,357,1
100,302,56,1
101,320,522,1
102,320,0,1
103,320,483,1
104,320,236,1
105,320,379,1
106,320,223,1
107,320,257,1
108,320,6,1
109,320,131,1
110,320,406,1
111,320,509,1
112,320,497,1
113,320,25,1
114,320,348,1
115,320,103,1
116,320,41,1
117,320,63,1
118,320,452,1
119,320,554,1
120,320,438,1
121,320,378,1
122,324,334,1
123,324,227,1
124,324,118,1
125,324,320,1
126,324,123,1
127,335,284,1
128,335,233,1
129,392,252,1
130,392,286,1
131,416,523,1
132,416,39,1
133,416,290,1
134,416,466,1
135,416,67,1
136,416,368,1
137,416,192,1
138,422,530,1
139,426,320,1
140,426,26,1
141,459,111,1
142,459,525,1
143,530,379,1
144,530,527,1
145,530,233,1
146,530,481,1
147,530,397,1
148,550,515,1
149,550,531,1
150,550,185,1
151,550,367,1
152,46,537,0
153,58,200,0
154,58,439,0
155,66,145,0
156,76,32,0
157,76,256,0
158,76,210,0
159,76,244,0
160,76,474,0
161,76,340,0
162,76,220,0
163,76,291,0
164,85,250,0
165,85,397,0
166,85,493,0
167,85,215,0
168,85,514,0
169,85,300,0
170,85,320,0
171,85,64,0
172,85,261,0
173,85,194,0
174,85,90,0
175,85,287,0
176,111,446,0
177,111,283,0
178,118,323,0
179,118,476,0
180,118,380,0
181,118,241,0
182,118,71,0
183,118,223,0
184,118,309,0
185,118,390,0
186,118,63,0
187,118,335,0
188,118,499,0
189,118,531,0
190,135,338,0
191,145,170,0
192,145,164,0
193,145,280,0
194,145,274,0
195,145,7,0
196,155,519,0
197,155,75,0
198,155,166,0
199,155,47,0
200,155,443,0
201,155,309,0
202,155,102,0
203,155,143,0
204,155,391,0
205,155,303,0
206,155,440,0
207,155,244,0
208,155,392,0
209,155,359,0
210,155,527,0
211,155,433,0
212,155,185,0
213,155,191,0
214,155,149,0
215,155,412,0
216,180,197,0
217,192,126,0
218,213,439,0
219,213,540,0
220,213,436,0
221,213,135,0
222,213,407,0
223,213,78,0
224,216,154,0
225,216,406,0
226,216,106,0
227,216,223,0
228,216,304,0
229,216,474,0
230,223,179,0
231,233,504,0
232,233,9,0
233,237,321,0
234,251,47,0
235,252,222,0
236,252,319,0
237,252,407,0
238,252,342,0
239,252,127,0
240,277,33,0
241,277,291,0
242,283,201,0
243,284,399,0
244,284,528,0
245,302,123,0
246,302,91,0
247,302,292,0
248,302,295,0
249,302,288,0
250,302,389,0
251,302,499,0
252,302,192,0
253,320,174,0
254,320,414,0
255,320,123,0
256,320,303,0
257,320,82,0
258,320,168,0
259,320,69,0
260,320,514,0
261,320,331,0
262,320,38,0
263,320,520,0
264,320,252,0
265,320,470,0
266,320,197,0
267,320,149,0
268,320,557,0
269,320,384,0
270,320,513,0
271,320,508,0
272,320,302,0
273,320,190,0
274,324,0,0
275,324,80,0
276,324,501,0
277,324,403,0
278,324,256,0
279,335,311,0
280,335,24,0
281,392,155,0
282,392,547,0
283,416,59,0
284,416,309,0
285,416,405,0
286,416,424,0
287,416,344,0
288,416,265,0
289,416,55,0
290,422,72,0
291,426,131,0
292,426,113,0
293,459,502,0
294,459,452,0
295,530,67,0
296,530,228,0
297,530,551,0
298,530,192,0
299,530,454,0
300,550,93,0
301,550,90,0
302,550,284,0
303,550,197,0
