,TF,Target,Label
0,0,36,1
1,5,460,1
2,5,1364,1
3,5,675,1
4,5,59,1
5,5,853,1
6,5,1027,1
7,5,826,1
8,5,66,1
9,5,874,1
10,5,454,1
11,5,1258,1
12,5,586,1
13,5,381,1
14,5,197,1
15,5,1215,1
16,5,1189,1
17,7,93,1
18,18,620,1
19,30,354,1
20,30,1374,1
21,30,942,1
22,30,205,1
23,30,32,1
24,30,660,1
25,30,157,1
26,30,384,1
27,30,254,1
28,30,1243,1
29,30,176,1
30,30,1331,1
31,30,366,1
32,32,600,1
33,32,739,1
34,32,36,1
35,32,666,1
36,32,892,1
37,32,122,1
38,32,706,1
39,32,251,1
40,32,942,1
41,32,1344,1
42,32,829,1
43,32,202,1
44,32,58,1
45,32,1243,1
46,32,862,1
47,32,1206,1
48,32,1353,1
49,32,409,1
50,32,30,1
51,32,432,1
52,32,1374,1
53,33,1332,1
54,33,558,1
55,33,1097,1
56,33,1189,1
57,33,1364,1
58,33,367,1
59,33,206,1
60,33,392,1
61,33,403,1
62,33,1044,1
63,33,1303,1
64,33,405,1
65,33,393,1
66,33,108,1
67,33,879,1
68,33,1245,1
69,34,726,1
70,34,1332,1
71,34,72,1
72,34,879,1
73,34,1222,1
74,34,305,1
75,34,75,1
76,34,1344,1
77,34,606,1
78,34,33,1
79,34,942,1
80,34,1303,1
81,34,202,1
82,34,660,1
83,34,572,1
84,34,1180,1
85,34,517,1
86,34,397,1
87,34,577,1
88,34,1250,1
89,34,489,1
90,34,759,1
91,34,1243,1
92,36,397,1
93,36,823,1
94,36,367,1
95,36,751,1
96,36,217,1
97,36,509,1
98,36,1030,1
99,36,17,1
100,36,1202,1
101,36,311,1
102,36,588,1
103,36,600,1
104,36,329,1
105,36,881,1
106,36,1227,1
107,36,1306,1
108,44,95,1
109,44,254,1
110,44,539,1
111,44,154,1
112,44,183,1
113,44,340,1
114,44,609,1
115,46,1202,1
116,46,1295,1
117,46,351,1
118,46,848,1
119,46,360,1
120,46,1254,1
121,49,1169,1
122,49,56,1
123,49,467,1
124,49,1189,1
125,49,423,1
126,49,675,1
127,49,330,1
128,49,1027,1
129,49,1364,1
130,49,1245,1
131,49,517,1
132,49,1023,1
133,49,65,1
134,49,882,1
135,53,1119,1
136,55,769,1
137,55,1057,1
138,55,224,1
139,55,657,1
140,56,467,1
141,56,1182,1
142,56,49,1
143,56,675,1
144,56,47,1
145,56,1023,1
146,56,475,1
147,56,874,1
148,56,454,1
149,59,826,1
150,59,1139,1
151,59,1178,1
152,59,1140,1
153,59,381,1
154,59,853,1
155,59,66,1
156,59,1149,1
157,66,277,1
158,66,27,1
159,66,86,1
160,66,454,1
161,66,1258,1
162,66,1033,1
163,66,59,1
164,66,195,1
165,66,675,1
166,66,500,1
167,66,5,1
168,66,381,1
169,66,826,1
170,66,284,1
171,66,646,1
172,66,130,1
173,71,85,1
174,72,1119,1
175,72,367,1
176,72,588,1
177,72,1023,1
178,72,670,1
179,72,612,1
180,72,1317,1
181,72,34,1
182,72,606,1
183,72,405,1
184,72,1099,1
185,72,87,1
186,72,1357,1
187,72,75,1
188,72,1125,1
189,72,223,1
190,72,420,1
191,72,982,1
192,73,606,1
193,74,932,1
194,74,768,1
195,74,903,1
196,74,108,1
197,74,673,1
198,74,340,1
199,74,931,1
200,76,392,1
201,76,823,1
202,79,1057,1
203,79,769,1
204,79,1240,1
205,79,784,1
206,85,918,1
207,85,932,1
208,85,507,1
209,86,66,1
210,86,1178,1
211,86,568,1
212,86,500,1
213,86,110,1
214,86,826,1
215,86,59,1
216,89,507,1
217,89,606,1
218,108,690,1
219,108,1119,1
220,108,1344,1
221,108,487,1
222,108,1249,1
223,108,74,1
224,108,34,1
225,108,609,1
226,108,879,1
227,108,367,1
228,108,131,1
229,108,612,1
230,108,860,1
231,108,739,1
232,108,1126,1
233,108,1332,1
234,108,33,1
235,108,1216,1
236,108,19,1
237,108,1125,1
