,TF,Target,Label
0,0,310,1
1,1,451,1
2,1,819,1
3,1,639,1
4,1,406,1
5,1,482,1
6,1,790,1
7,1,442,1
8,1,620,1
9,1,676,1
10,1,454,1
11,1,293,1
12,1,427,1
13,1,589,1
14,1,174,1
15,1,606,1
16,1,329,1
17,4,745,1
18,4,387,1
19,4,363,1
20,4,242,1
21,4,105,1
22,4,769,1
23,4,186,1
24,4,681,1
25,4,728,1
26,4,96,1
27,4,481,1
28,4,24,1
29,4,666,1
30,4,669,1
31,4,642,1
32,4,476,1
33,4,515,1
34,4,94,1
35,4,556,1
36,4,441,1
37,4,446,1
38,5,470,1
39,14,551,1
40,14,672,1
41,14,591,1
42,14,752,1
43,14,623,1
44,14,534,1
45,14,673,1
46,14,433,1
47,14,409,1
48,14,510,1
49,15,277,1
50,15,161,1
51,15,785,1
52,15,644,1
53,15,623,1
54,15,858,1
55,15,249,1
56,15,591,1
57,20,550,1
58,20,551,1
59,22,833,1
60,22,939,1
61,22,342,1
62,22,575,1
63,22,54,1
64,22,131,1
65,22,228,1
66,22,470,1
67,22,249,1
68,22,627,1
69,22,394,1
70,22,858,1
71,24,946,1
72,24,441,1
73,24,515,1
74,24,767,1
75,24,94,1
76,24,745,1
77,24,220,1
78,24,864,1
79,24,750,1
80,24,590,1
81,24,476,1
82,24,4,1
83,24,662,1
84,24,105,1
85,24,728,1
86,24,642,1
87,24,319,1
88,24,387,1
89,24,137,1
90,24,523,1
91,24,363,1
92,26,892,1
93,26,29,1
94,26,462,1
95,26,794,1
96,26,39,1
97,26,522,1
98,26,89,1
99,26,86,1
100,26,706,1
101,26,84,1
102,26,804,1
103,26,819,1
104,28,255,1
105,28,905,1
106,28,139,1
107,28,471,1
108,28,755,1
109,36,292,1
110,36,267,1
111,37,892,1
112,37,275,1
113,38,499,1
114,38,96,1
115,38,259,1
116,38,864,1
117,38,328,1
118,38,319,1
119,38,64,1
120,38,41,1
121,38,290,1
122,38,386,1
123,38,573,1
124,38,40,1
125,38,213,1
126,38,421,1
127,38,610,1
128,38,513,1
129,38,367,1
130,38,226,1
131,38,736,1
132,38,441,1
133,39,87,1
134,39,935,1
135,39,906,1
136,39,124,1
137,39,156,1
138,39,741,1
139,39,139,1
140,39,328,1
141,39,365,1
142,39,161,1
143,39,534,1
144,39,673,1
145,39,709,1
146,39,546,1
147,39,924,1
148,39,522,1
149,39,815,1
150,39,44,1
151,39,482,1
152,39,26,1
153,39,89,1
154,40,184,1
155,40,827,1
156,40,493,1
157,40,441,1
158,40,936,1
159,40,610,1
160,40,813,1
161,40,939,1
162,40,362,1
163,40,41,1
164,40,386,1
165,40,676,1
166,40,342,1
167,40,222,1
168,40,499,1
169,40,426,1
170,40,736,1
171,40,250,1
172,40,687,1
173,41,242,1
174,41,363,1
175,41,328,1
176,41,728,1
177,41,387,1
178,41,375,1
179,41,307,1
180,41,641,1
181,41,465,1
182,41,64,1
183,41,634,1
184,41,736,1
185,41,916,1
186,41,24,1
187,41,198,1
188,41,195,1
189,41,481,1
190,41,801,1
191,41,500,1
192,41,520,1
193,41,475,1
194,41,222,1
195,41,499,1
196,41,662,1
197,41,233,1
198,41,901,1
199,41,750,1
200,41,212,1
201,41,96,1
202,41,319,1
203,41,681,1
204,41,250,1
205,41,470,1
206,41,936,1
207,41,276,1
208,41,105,1
209,41,788,1
210,41,128,1
211,41,4,1
212,41,946,1
213,41,874,1
214,41,112,1
215,41,121,1
216,41,718,1
217,41,463,1
218,41,127,1
219,41,554,1
220,41,687,1
221,41,40,1
222,41,226,1
223,41,831,1
224,41,54,1
225,41,477,1
226,41,186,1
227,41,749,1
228,43,123,1
229,43,117,1
230,43,332,1
231,43,649,1
232,43,828,1
233,43,625,1
234,43,174,1
235,43,736,1
236,43,198,1
237,43,245,1
238,43,784,1
239,43,512,1
240,43,943,1
241,43,919,1
242,43,188,1
243,43,639,1
244,43,386,1
245,43,620,1
246,43,650,1
247,43,18,1
248,43,247,1
249,43,783,1
250,43,911,1
251,43,311,1
252,43,575,1
253,43,181,1
254,43,341,1
255,43,239,1
256,43,493,1
257,47,374,1
258,47,377,1
259,47,567,1
260,47,896,1
261,47,751,1
262,47,78,1
263,47,638,1
264,47,654,1
265,48,789,1
266,54,319,1
267,54,57,1
268,54,945,1
269,54,864,1
270,54,64,1
271,54,317,1
272,54,858,1
273,54,641,1
274,54,233,1
275,54,362,1
276,54,144,1
277,54,581,1
278,54,749,1
279,54,342,1
280,54,662,1
281,54,788,1
282,54,515,1
283,54,901,1
284,57,901,1
285,57,250,1
286,57,365,1
287,57,874,1
288,57,54,1
289,57,64,1
290,57,233,1
291,57,441,1
292,57,144,1
293,57,465,1
294,57,520,1
295,57,788,1
296,57,641,1
297,64,669,1
298,64,250,1
299,64,850,1
300,64,641,1
301,64,475,1
302,64,115,1
303,64,520,1
304,64,216,1
305,64,112,1
306,64,486,1
307,64,242,1
308,64,700,1
309,64,445,1
310,64,463,1
311,64,4,1
312,64,465,1
313,64,198,1
314,64,662,1
315,64,500,1
316,64,916,1
317,64,300,1
318,64,54,1
319,64,148,1
320,64,211,1
321,64,117,1
322,64,343,1
323,64,838,1
324,64,363,1
325,64,319,1
326,64,456,1
327,64,67,1
328,64,484,1
329,64,481,1
330,64,749,1
331,64,499,1
332,64,406,1
333,64,40,1
334,64,386,1
335,64,233,1
336,64,220,1
337,64,786,1
338,64,137,1
339,64,750,1
340,64,476,1
341,64,788,1
342,64,515,1
343,64,874,1
344,64,681,1
345,67,484,1
346,67,11,1
347,67,112,1
348,67,575,1
349,67,567,1
350,67,481,1
351,67,314,1
352,67,103,1
353,67,8,1
354,67,530,1
355,67,896,1
356,67,546,1
357,67,333,1
358,67,441,1
359,67,499,1
360,67,319,1
361,67,123,1
362,67,654,1
363,67,78,1
364,67,751,1
365,67,815,1
366,67,731,1
367,67,864,1
368,67,373,1
369,67,374,1
370,69,749,1
371,71,249,1
372,72,306,1
373,72,184,1
374,72,919,1
375,72,736,1
376,72,30,1
377,72,341,1
378,72,245,1
379,72,282,1
380,72,497,1
381,72,639,1
382,72,178,1
383,72,401,1
384,72,635,1
385,72,876,1
386,72,650,1
387,72,613,1
388,72,424,1
389,72,330,1
390,72,828,1
391,72,378,1
392,72,240,1
393,72,512,1
394,72,769,1
395,72,265,1
396,72,329,1
397,72,549,1
398,72,649,1
399,72,813,1
400,72,29,1
401,74,249,1
402,74,393,1
403,74,365,1
404,80,312,1
405,85,902,1
406,85,362,1
407,85,106,1
408,85,905,1
409,85,906,1
410,85,864,1
411,85,96,1
412,85,528,1
413,85,470,1
414,85,838,1
415,85,188,1
416,85,39,1
417,85,216,1
418,85,556,1
419,85,741,1
420,85,441,1
421,85,515,1
422,85,41,1
423,85,368,1
424,85,850,1
425,85,878,1
426,85,819,1
427,85,64,1
428,85,424,1
429,85,124,1
430,85,238,1
431,85,639,1
432,85,784,1
433,85,265,1
434,85,365,1
435,87,911,1
436,87,433,1
437,87,673,1
438,87,161,1
439,87,14,1
440,87,945,1
441,87,33,1
442,87,364,1
443,87,409,1
444,87,510,1
