,TF,Target,Label
0,3,34,1
1,3,726,1
2,3,402,1
3,3,379,1
4,4,502,1
5,4,0,1
6,4,247,1
7,4,202,1
8,4,549,1
9,4,709,1
10,4,635,1
11,4,144,1
12,10,496,1
13,10,800,1
14,10,776,1
15,10,218,1
16,12,642,1
17,12,468,1
18,12,114,1
19,12,373,1
20,12,696,1
21,12,48,1
22,12,546,1
23,12,168,1
24,12,202,1
25,12,290,1
26,12,153,1
27,12,704,1
28,12,96,1
29,12,560,1
30,12,247,1
31,12,412,1
32,12,399,1
33,14,172,1
34,14,285,1
35,14,50,1
36,14,333,1
37,14,356,1
38,14,73,1
39,14,179,1
40,14,479,1
41,14,346,1
42,14,720,1
43,14,420,1
44,14,327,1
45,14,230,1
46,14,228,1
47,14,39,1
48,14,585,1
49,14,494,1
50,14,613,1
51,14,86,1
52,14,522,1
53,14,669,1
54,14,70,1
55,14,666,1
56,14,722,1
57,14,434,1
58,14,323,1
59,14,446,1
60,14,711,1
61,15,185,1
62,15,755,1
63,15,546,1
64,15,139,1
65,15,310,1
66,15,760,1
67,15,696,1
68,15,319,1
69,15,247,1
70,15,12,1
71,15,350,1
72,15,795,1
73,19,468,1
74,19,648,1
75,25,576,1
76,25,685,1
77,25,79,1
78,25,275,1
79,25,154,1
80,25,120,1
81,25,316,1
82,25,456,1
83,27,12,1
84,27,358,1
85,27,96,1
86,27,399,1
87,27,174,1
88,27,704,1
89,27,540,1
90,27,642,1
91,27,153,1
92,27,114,1
93,27,289,1
94,27,116,1
95,30,762,1
96,30,358,1
97,30,290,1
98,30,770,1
99,30,576,1
100,30,56,1
101,30,546,1
102,34,12,1
103,34,760,1
104,34,439,1
105,34,600,1
106,34,221,1
107,34,726,1
108,34,468,1
109,34,576,1
110,34,43,1
111,34,557,1
112,34,476,1
113,34,493,1
114,34,248,1
115,34,158,1
116,34,615,1
117,34,254,1
118,34,755,1
119,34,85,1
120,34,105,1
121,34,79,1
122,34,729,1
123,34,246,1
124,34,144,1
125,34,247,1
126,34,175,1
127,34,307,1
128,34,412,1
129,34,276,1
