,TF,Target,Label
0,11,377,1
1,13,437,1
2,13,517,1
3,13,241,1
4,13,407,1
5,21,378,1
6,24,566,1
7,24,611,1
8,24,111,1
9,24,311,1
10,35,205,1
11,35,261,1
12,35,164,1
13,35,587,1
14,35,62,1
15,35,576,1
16,35,222,1
17,35,446,1
18,35,221,1
19,35,443,1
20,35,31,1
21,35,16,1
22,35,565,1
23,35,421,1
24,35,488,1
25,37,595,1
26,41,309,1
27,41,237,1
28,41,167,1
29,41,251,1
30,41,98,1
31,41,72,1
32,41,489,1
33,41,164,1
34,41,614,1
35,41,256,1
36,41,559,1
37,41,611,1
38,41,52,1
39,41,26,1
40,41,266,1
41,41,532,1
42,41,464,1
43,41,403,1
44,41,479,1
45,41,455,1
46,62,195,1
47,62,221,1
48,92,567,1
49,93,321,1
50,93,260,1
51,93,604,1
52,93,611,1
53,93,261,1
54,112,190,1
55,112,180,1
56,112,523,1
57,112,451,1
58,112,80,1
59,112,322,1
60,112,187,1
61,118,563,1
62,118,166,1
63,118,261,1
64,119,609,1
65,131,377,1
66,131,499,1
67,137,256,1
68,137,26,1
69,137,566,1
70,137,167,1
71,153,488,1
72,153,275,1
73,153,195,1
74,153,35,1
75,155,305,1
76,155,570,1
77,155,439,1
78,158,164,1
79,158,229,1
80,158,443,1
81,158,565,1
82,158,237,1
83,166,261,1
84,174,337,1
85,187,112,1
86,187,261,1
87,187,447,1
88,187,305,1
89,193,304,1
90,193,567,1
91,195,421,1
92,195,599,1
93,195,62,1
94,195,164,1
95,195,153,1
96,195,35,1
97,195,443,1
98,195,576,1
99,196,229,1
100,196,271,1
101,205,35,1
102,205,195,1
103,205,144,1
104,205,169,1
105,205,593,1
106,205,425,1
107,205,606,1
108,205,625,1
109,216,111,1
110,216,26,1
111,216,566,1
112,216,167,1
113,221,587,1
114,221,362,1
115,221,195,1
116,221,16,1
117,221,62,1
118,222,297,1
119,222,31,1
120,229,464,1
121,229,26,1
122,229,191,1
123,229,251,1
124,229,403,1
125,229,237,1
126,229,508,1
127,229,52,1
128,229,164,1
129,229,455,1
130,229,309,1
131,229,566,1
132,229,402,1
133,229,565,1
134,229,321,1
135,229,256,1
136,234,31,1
137,238,567,1
138,243,402,1
139,243,99,1
140,243,164,1
141,243,565,1
142,243,479,1
143,243,111,1
144,243,566,1
145,243,26,1
146,243,559,1
147,243,167,1
148,243,421,1
149,243,266,1
150,243,532,1
151,243,455,1
152,243,443,1
153,243,220,1
154,243,489,1
155,243,72,1
156,243,491,1
157,243,52,1
158,256,111,1
159,256,167,1
160,256,251,1
161,256,565,1
162,256,550,1
163,256,508,1
164,256,164,1
165,256,611,1
166,256,26,1
167,256,237,1
168,256,532,1
169,256,41,1
170,256,137,1
171,256,491,1
172,256,254,1
173,256,99,1
174,256,309,1
175,256,455,1
176,256,566,1
177,256,443,1
178,256,52,1
179,260,46,1
180,260,93,1
181,260,288,1
182,261,31,1
183,261,570,1
184,261,554,1
185,261,469,1
186,261,166,1
187,261,564,1
188,261,35,1
189,261,377,1
190,263,570,1
191,263,342,1
192,263,530,1
193,263,169,1
194,263,436,1
195,263,152,1
196,263,624,1
197,263,144,1
198,263,97,1
199,263,364,1
200,263,38,1
201,263,514,1
202,263,593,1
203,266,421,1
204,266,614,1
205,266,464,1
206,266,532,1
207,266,99,1
208,266,443,1
209,266,220,1
210,266,489,1
211,266,309,1
212,266,256,1
213,266,402,1
214,266,403,1
215,266,41,1
216,266,468,1
217,266,98,1
218,266,508,1
219,266,164,1
220,266,237,1
221,266,229,1
222,266,559,1
223,270,567,1
224,271,508,1
225,271,237,1
226,271,196,1
227,271,446,1
228,271,229,1
229,277,377,1
230,277,93,1
231,288,260,1
232,304,31,1
233,304,319,1
234,304,193,1
