,TF,Target,Label
0,0,36,1
1,5,923,1
2,5,586,1
3,5,68,1
4,5,1364,1
5,5,454,1
6,5,740,1
7,5,914,1
8,5,59,1
9,5,1189,1
10,5,1258,1
11,5,66,1
12,5,853,1
13,5,675,1
14,5,197,1
15,5,826,1
16,5,1245,1
17,6,475,1
18,7,93,1
19,16,1119,1
20,18,620,1
21,30,205,1
22,30,539,1
23,30,183,1
24,30,660,1
25,30,354,1
26,30,176,1
27,30,289,1
28,30,1343,1
29,30,450,1
30,30,366,1
31,30,384,1
32,30,1374,1
33,30,249,1
34,32,743,1
35,32,1374,1
36,32,1206,1
37,32,202,1
38,32,600,1
39,32,122,1
40,32,902,1
41,32,251,1
42,32,739,1
43,32,862,1
44,32,1331,1
45,32,765,1
46,32,588,1
47,32,1243,1
48,32,305,1
49,32,829,1
50,32,98,1
51,32,706,1
52,32,892,1
53,32,1341,1
54,32,1180,1
55,33,405,1
56,33,403,1
57,33,1332,1
58,33,1303,1
59,33,1099,1
60,33,710,1
61,33,1044,1
62,33,848,1
63,33,206,1
64,33,34,1
65,33,489,1
66,33,108,1
67,33,1364,1
68,33,1245,1
69,33,1027,1
70,33,675,1
71,34,44,1
72,34,539,1
73,34,517,1
74,34,202,1
75,34,228,1
76,34,606,1
77,34,1343,1
78,34,918,1
79,34,1332,1
80,34,563,1
81,34,72,1
82,34,572,1
83,34,1374,1
84,34,759,1
85,34,1249,1
86,34,660,1
87,34,75,1
88,34,1180,1
89,34,892,1
90,34,183,1
91,34,1243,1
92,34,1216,1
93,34,397,1
94,36,1249,1
95,36,704,1
96,36,600,1
97,36,367,1
98,36,807,1
99,36,612,1
100,36,0,1
101,36,32,1
102,36,588,1
103,36,1241,1
104,36,509,1
105,36,1202,1
106,36,17,1
107,36,432,1
108,36,1319,1
109,36,1030,1
110,44,254,1
111,44,154,1
112,44,609,1
113,44,660,1
114,44,202,1
115,44,539,1
116,44,1131,1
117,46,1254,1
118,46,1000,1
119,46,314,1
120,46,835,1
121,46,360,1
122,46,1295,1
123,49,1169,1
124,49,1027,1
125,49,1364,1
126,49,635,1
127,49,65,1
128,49,47,1
129,49,988,1
130,49,475,1
131,49,1189,1
132,49,675,1
133,49,691,1
134,49,874,1
135,49,330,1
136,49,995,1
137,55,1057,1
138,55,784,1
139,55,79,1
140,55,769,1
141,56,1169,1
142,56,691,1
143,56,1364,1
144,56,454,1
145,56,1182,1
146,56,475,1
147,56,467,1
148,56,65,1
149,56,1023,1
150,59,1215,1
151,59,1140,1
152,59,1178,1
153,59,736,1
154,59,1139,1
155,59,500,1
156,59,86,1
157,59,66,1
158,66,1189,1
159,66,454,1
160,66,1027,1
161,66,5,1
162,66,500,1
163,66,1215,1
164,66,826,1
165,66,346,1
166,66,381,1
167,66,277,1
168,66,1178,1
169,66,1245,1
170,66,284,1
171,66,586,1
172,66,195,1
173,66,1033,1
174,71,85,1
175,72,347,1
176,72,1125,1
177,72,111,1
178,72,17,1
179,72,1357,1
180,72,606,1
181,72,980,1
182,72,982,1
183,72,367,1
184,72,1250,1
185,72,143,1
186,72,847,1
187,72,610,1
188,72,223,1
189,72,1317,1
190,72,317,1
191,72,75,1
192,72,588,1
193,74,768,1
194,74,932,1
195,74,673,1
196,74,340,1
197,74,108,1
198,74,1194,1
199,74,356,1
200,76,392,1
201,76,1274,1
202,77,1033,1
203,79,1032,1
204,79,55,1
205,79,769,1
206,79,1057,1
207,85,507,1
208,85,918,1
209,85,932,1
210,86,1178,1
211,86,1004,1
212,86,826,1
213,86,5,1
214,86,110,1
215,86,66,1
216,86,59,1
217,89,606,1
218,89,507,1
219,108,1126,1
220,108,1125,1
221,108,620,1
222,108,1033,1
223,108,670,1
224,108,214,1
225,108,551,1
226,108,1119,1
227,108,34,1
228,108,690,1
229,108,1261,1
230,108,1303,1
231,108,209,1
232,108,305,1
233,108,931,1
234,108,1243,1
235,108,74,1
236,108,860,1
237,108,879,1
238,108,609,1
239,108,487,1
240,116,879,1
241,116,1231,1
242,116,74,1
243,116,686,1
244,122,1353,1
245,122,32,1
246,130,1149,1
247,130,1318,1
248,130,454,1
249,130,284,1
250,130,197,1
251,130,94,1
252,130,853,1
253,130,646,1
254,130,66,1
255,130,460,1
256,130,603,1
257,130,381,1
258,130,5,1
259,130,195,1
