,TF,Target,Label
0,43,730,1
1,43,0,1
2,43,453,1
3,43,374,1
4,43,45,1
5,43,539,1
6,43,533,1
7,43,873,1
8,43,572,1
9,43,666,1
10,43,495,1
11,43,710,1
12,43,799,1
13,43,297,1
14,43,777,1
15,43,723,1
16,43,408,1
17,43,365,1
18,43,747,1
19,43,789,1
20,43,708,1
21,43,778,1
22,43,343,1
23,43,848,1
24,43,381,1
25,43,552,1
26,43,450,1
27,43,526,1
28,43,7,1
29,43,425,1
30,43,787,1
31,43,691,1
32,43,715,1
33,43,622,1
34,43,133,1
35,43,388,1
36,43,155,1
37,43,209,1
38,43,589,1
39,43,519,1
40,43,36,1
41,43,734,1
42,43,376,1
43,43,548,1
44,43,530,1
45,43,889,1
46,43,405,1
47,43,72,1
48,43,452,1
49,43,760,1
50,43,437,1
51,43,264,1
52,43,384,1
53,43,560,1
54,43,456,1
55,43,476,1
56,43,230,1
57,43,815,1
58,43,719,1
59,43,656,1
60,43,340,1
61,43,907,1
62,43,313,1
63,43,397,1
64,43,830,1
65,43,130,1
66,43,207,1
67,43,25,1
68,43,857,1
69,43,145,1
70,43,417,1
71,43,192,1
72,43,835,1
73,43,478,1
74,43,629,1
75,43,577,1
76,43,772,1
77,43,255,1
78,43,597,1
79,43,116,1
80,43,749,1
81,43,759,1
82,43,882,1
83,43,440,1
84,43,276,1
85,43,678,1
86,43,123,1
87,43,225,1
88,43,905,1
89,43,687,1
90,43,44,1
91,43,143,1
92,43,849,1
93,43,516,1
94,43,510,1
95,43,455,1
96,43,338,1
97,43,781,1
98,43,644,1
99,43,198,1
100,43,231,1
101,43,337,1
102,43,764,1
103,43,414,1
104,43,94,1
105,43,15,1
106,43,463,1
107,43,445,1
108,43,275,1
109,43,618,1
110,43,239,1
111,43,514,1
112,43,619,1
113,43,102,1
114,43,281,1
115,43,382,1
116,43,717,1
117,43,612,1
118,43,333,1
119,43,368,1
120,43,481,1
121,43,469,1
122,43,171,1
123,43,471,1
124,43,49,1
125,43,748,1
126,43,252,1
127,43,387,1
128,43,690,1
129,43,31,1
130,43,627,1
131,43,842,1
132,43,33,1
133,43,790,1
134,43,771,1
135,43,467,1
136,43,56,1
137,43,586,1
138,43,96,1
139,43,175,1
140,43,755,1
141,43,20,1
142,43,325,1
143,43,65,1
144,43,389,1
145,43,200,1
146,43,621,1
147,43,320,1
148,43,250,1
149,43,454,1
150,43,153,1
151,43,3,1
152,43,567,1
153,43,601,1
154,43,594,1
155,43,458,1
156,43,317,1
157,43,706,1
158,43,119,1
159,43,638,1
160,43,671,1
161,43,442,1
162,43,298,1
163,43,850,1
164,43,174,1
165,43,839,1
166,43,344,1
167,43,79,1
168,43,77,1
169,43,308,1
170,43,733,1
171,43,339,1
172,43,263,1
173,43,234,1
174,43,152,1
175,43,523,1
176,43,652,1
177,43,782,1
178,43,86,1
179,43,684,1
180,43,490,1
181,43,817,1
182,43,485,1
183,43,738,1
184,43,474,1
185,43,11,1
186,43,868,1
187,43,121,1
188,43,420,1
189,43,833,1
190,43,267,1
191,43,649,1
192,43,383,1
193,43,302,1
194,43,838,1
195,43,529,1
196,43,488,1
197,43,265,1
198,43,438,1
199,43,235,1
200,43,331,1
201,43,795,1
202,43,660,1
203,43,186,1
204,43,115,1
205,43,401,1
206,43,21,1
207,43,260,1
208,43,602,1
209,43,565,1
210,43,403,1
211,43,363,1
212,43,268,1
213,43,41,1
214,43,290,1
215,43,828,1
216,43,473,1
217,43,836,1
218,43,563,1
219,43,574,1
220,43,470,1
221,43,32,1
222,43,154,1
223,43,444,1
224,43,701,1
225,43,329,1
226,43,224,1
227,43,245,1
228,43,104,1
229,43,864,1
230,43,296,1
231,43,361,1
232,43,874,1
233,43,540,1
234,43,475,1
235,43,831,1
236,43,223,1
237,43,238,1
238,43,193,1
239,43,494,1
240,43,216,1
241,43,142,1
242,43,63,1
243,43,786,1
244,43,902,1
245,43,16,1
246,43,289,1
247,43,379,1
248,43,434,1
249,43,73,1
250,43,22,1
251,43,125,1
252,43,840,1
253,43,908,1
254,43,107,1
255,43,449,1
256,43,894,1
257,43,306,1
258,43,287,1
259,43,770,1
260,43,559,1
