,TF,Target,Label
0,1,686,1
1,1,370,1
2,1,451,1
3,1,622,1
4,1,188,1
5,1,213,1
6,1,21,1
7,1,534,1
8,1,324,1
9,1,158,1
10,1,291,1
11,1,171,1
12,1,480,1
13,1,120,1
14,1,2,1
15,1,615,1
16,1,619,1
17,1,274,1
18,1,227,1
19,1,526,1
20,1,473,1
21,1,136,1
22,1,539,1
23,1,664,1
24,1,485,1
25,1,10,1
26,1,375,1
27,1,296,1
28,1,642,1
29,1,580,1
30,1,65,1
31,1,471,1
32,1,566,1
33,1,400,1
34,1,556,1
35,1,457,1
36,1,414,1
37,1,340,1
38,1,30,1
39,1,353,1
40,1,350,1
41,1,33,1
42,1,438,1
43,1,691,1
44,1,581,1
45,1,652,1
46,1,76,1
47,1,425,1
48,1,659,1
49,1,14,1
50,1,612,1
51,1,339,1
52,1,269,1
53,1,216,1
54,1,4,1
55,1,348,1
56,1,18,1
57,1,535,1
58,1,152,1
59,1,303,1
60,1,159,1
61,1,456,1
62,1,83,1
63,1,139,1
64,1,119,1
65,1,679,1
66,1,57,1
67,1,319,1
68,1,346,1
69,1,549,1
70,1,12,1
71,1,74,1
72,1,224,1
73,1,69,1
74,1,672,1
75,1,25,1
76,1,67,1
77,1,630,1
78,1,661,1
79,1,270,1
80,1,435,1
81,1,137,1
82,1,703,1
83,1,354,1
84,1,648,1
85,1,243,1
86,1,505,1
87,1,278,1
88,1,7,1
89,1,118,1
90,1,329,1
91,1,352,1
92,1,409,1
93,1,142,1
94,1,677,1
95,1,379,1
96,1,423,1
97,1,345,1
98,1,13,1
99,1,636,1
100,1,335,1
101,1,545,1
102,1,302,1
103,1,71,1
104,1,275,1
105,1,573,1
106,1,698,1
107,1,403,1
108,1,209,1
109,1,434,1
110,1,360,1
111,1,364,1
112,1,237,1
113,1,272,1
114,1,431,1
115,1,113,1
116,1,72,1
117,1,447,1
118,1,132,1
119,1,557,1
120,1,460,1
121,1,217,1
122,1,355,1
123,1,586,1
124,1,160,1
125,1,48,1
126,1,678,1
127,1,621,1
128,1,524,1
129,1,579,1
130,1,102,1
131,1,653,1
132,1,146,1
133,1,604,1
134,1,470,1
135,1,584,1
136,1,343,1
137,1,432,1
138,1,198,1
139,1,50,1
140,1,311,1
141,1,356,1
142,1,422,1
143,1,244,1
144,1,11,1
145,1,697,1
146,1,607,1
147,1,576,1
148,1,655,1
149,1,174,1
150,1,533,1
151,1,320,1
152,1,603,1
153,1,126,1
154,1,410,1
155,1,289,1
156,1,494,1
157,1,570,1
158,1,373,1
159,1,23,1
160,1,28,1
161,1,19,1
162,1,315,1
163,1,631,1
164,1,49,1
165,1,430,1
166,1,176,1
167,1,511,1
168,1,201,1
169,1,536,1
170,1,644,1
171,1,96,1
172,1,690,1
173,1,195,1
174,1,162,1
175,1,214,1
176,1,486,1
177,1,259,1
178,1,538,1
179,1,359,1
180,1,157,1
181,1,163,1
182,1,391,1
183,1,97,1
184,1,175,1
185,1,308,1
186,1,525,1
187,1,575,1
188,1,565,1
189,1,669,1
190,1,66,1
191,1,140,1
192,1,371,1
193,1,465,1
194,1,232,1
195,1,633,1
196,1,143,1
197,1,101,1
198,1,55,1
199,1,81,1
200,1,463,1
201,1,220,1
202,1,543,1
203,1,205,1
204,1,617,1
205,1,87,1
206,1,495,1
207,1,367,1
208,1,508,1
209,1,466,1
210,1,365,1
211,1,610,1
212,1,234,1
213,1,84,1
214,1,572,1
215,1,378,1
216,1,390,1
217,1,618,1
218,1,461,1
219,1,647,1
220,1,144,1
221,1,596,1
222,1,608,1
