,TF,Target,Label
0,17,615,1
1,17,509,1
2,17,264,1
3,17,343,1
4,17,869,1
5,17,201,1
6,17,65,1
7,17,903,1
8,17,610,1
9,17,743,1
10,17,692,1
11,17,922,1
12,17,308,1
13,17,9,1
14,17,638,1
15,17,799,1
16,17,576,1
17,17,212,1
18,17,108,1
19,17,490,1
20,17,539,1
21,17,885,1
22,17,910,1
23,17,661,1
24,17,730,1
25,17,1130,1
26,17,720,1
27,17,839,1
28,17,932,1
29,17,724,1
30,17,807,1
31,17,276,1
32,17,655,1
33,17,580,1
34,17,708,1
35,17,489,1
36,17,100,1
37,17,847,1
38,17,614,1
39,17,381,1
40,17,731,1
41,17,80,1
42,17,77,1
43,17,641,1
44,17,383,1
45,17,227,1
46,17,476,1
47,17,473,1
48,17,347,1
49,17,624,1
50,17,403,1
51,17,691,1
52,17,106,1
53,17,1026,1
54,17,1006,1
55,17,428,1
56,17,703,1
57,17,895,1
58,17,504,1
59,17,458,1
60,17,593,1
61,17,896,1
62,17,452,1
63,17,283,1
64,17,22,1
65,17,259,1
66,17,880,1
67,17,1097,1
68,17,1061,1
69,17,741,1
70,17,401,1
71,17,950,1
72,17,161,1
73,17,101,1
74,17,977,1
75,17,232,1
76,17,272,1
77,17,1023,1
78,17,68,1
79,17,321,1
80,17,713,1
81,17,219,1
82,17,1009,1
83,17,42,1
84,17,245,1
85,17,333,1
86,17,215,1
87,17,1019,1
88,17,146,1
89,17,293,1
90,17,198,1
91,17,797,1
92,17,964,1
93,17,1046,1
94,17,197,1
95,17,145,1
96,17,1112,1
97,17,35,1
98,17,360,1
99,17,803,1
100,17,700,1
101,17,370,1
102,17,352,1
103,17,202,1
104,17,824,1
105,17,751,1
106,17,199,1
107,17,848,1
108,17,6,1
109,17,368,1
110,17,756,1
111,17,766,1
112,17,459,1
113,17,1080,1
114,17,582,1
115,17,805,1
116,17,619,1
117,17,354,1
118,17,873,1
119,17,1018,1
120,17,605,1
121,17,461,1
122,17,115,1
123,17,752,1
124,17,8,1
125,17,914,1
126,17,58,1
127,17,586,1
128,17,749,1
129,17,956,1
130,17,702,1
131,17,835,1
132,17,390,1
133,17,1044,1
134,17,358,1
135,17,175,1
136,17,59,1
137,17,214,1
138,17,182,1
139,17,786,1
140,17,1049,1
141,17,25,1
142,17,878,1
143,17,187,1
144,17,726,1
145,17,503,1
146,17,884,1
147,17,262,1
148,17,110,1
149,17,535,1
150,17,498,1
151,17,1052,1
152,17,492,1
153,17,727,1
154,17,230,1
155,17,861,1
156,17,51,1
157,17,599,1
158,17,925,1
159,17,271,1
160,17,98,1
161,17,464,1
162,17,636,1
163,17,759,1
164,17,595,1
165,17,681,1
166,17,930,1
167,17,780,1
168,17,167,1
169,17,400,1
170,17,669,1
171,17,545,1
172,17,1047,1
173,17,1107,1
174,17,887,1
175,17,1124,1
176,17,286,1
177,17,864,1
178,17,948,1
179,17,7,1
180,17,923,1
181,17,974,1
182,17,597,1
183,17,818,1
184,17,273,1
185,17,139,1
186,17,493,1
187,17,886,1
188,17,584,1
189,17,359,1
190,17,263,1
191,17,572,1
192,17,718,1
193,17,890,1
194,17,849,1
195,17,316,1
196,17,116,1
197,17,589,1
198,17,1025,1
199,17,61,1
200,17,855,1
201,17,742,1
202,17,254,1
203,17,1035,1
204,17,642,1
205,17,616,1
206,17,93,1
207,17,875,1
208,17,416,1
209,17,477,1
210,17,769,1
211,17,787,1
212,17,954,1
213,17,795,1
214,17,862,1
215,17,901,1
216,17,406,1
217,17,935,1
218,17,979,1
219,17,783,1
220,17,1071,1
221,17,449,1
222,17,735,1
223,17,819,1
224,17,265,1
225,17,761,1
226,17,788,1
227,17,1002,1
228,17,534,1
229,17,170,1
230,17,554,1
231,17,859,1
232,17,323,1
233,17,792,1
234,17,565,1
235,17,544,1
236,17,260,1
237,17,546,1
238,17,804,1
239,17,1055,1
240,17,380,1
241,17,529,1
242,17,794,1
243,17,957,1
244,17,687,1
245,17,991,1
246,17,427,1
247,17,557,1
248,17,1056,1
249,17,1128,1
250,17,1116,1
251,17,124,1
252,17,133,1
253,17,524,1
254,17,104,1
255,17,29,1
256,17,763,1
257,17,679,1
258,17,1063,1
259,17,5,1
260,17,858,1
261,17,410,1
262,17,312,1
263,17,801,1
264,17,450,1
265,17,1073,1
266,17,125,1
267,17,1095,1
268,17,871,1
269,17,837,1
270,17,1131,1
271,17,207,1
272,17,337,1
273,17,302,1
274,17,188,1
275,17,434,1
276,17,514,1
277,17,649,1
278,17,53,1
279,17,627,1
280,17,1118,1
281,17,675,1
282,17,1062,1
283,17,12,1
284,17,15,1
285,17,850,1
286,17,366,1
287,17,793,1
288,17,159,1
289,17,346,1
290,17,527,1
291,17,387,1
292,17,523,1
293,17,194,1
294,17,732,1
295,17,384,1
296,17,747,1
